#T[Ga]	 a[RE]		 obliq_E[deg]	 obliq_M[deg]	 inc_M[deg]
0.094	 59.580839	 23.011122	 6.696961	 5.157092 
0.095	 59.575447	 23.008818	 6.697653	 5.157208 
0.096	 59.570059	 23.006516	 6.698344	 5.157325 
0.097	 59.564673	 23.004215	 6.699035	 5.157442 
0.098	 59.559290	 23.001917	 6.699726	 5.157558 
0.099	 59.553910	 22.999620	 6.700417	 5.157675 
0.100	 59.548533	 22.997325	 6.701108	 5.157791 
0.101	 59.543159	 22.995032	 6.701799	 5.157908 
0.102	 59.537789	 22.992742	 6.702489	 5.158024 
0.103	 59.532423	 22.990453	 6.703180	 5.158140 
0.104	 59.527062	 22.988168	 6.703870	 5.158256 
0.105	 59.521705	 22.985884	 6.704560	 5.158373 
0.106	 59.516354	 22.983604	 6.705249	 5.158489 
0.107	 59.511007	 22.981326	 6.705939	 5.158604 
0.108	 59.505667	 22.979052	 6.706627	 5.158720 
0.109	 59.500333	 22.976780	 6.707316	 5.158836 
0.110	 59.495005	 22.974512	 6.708004	 5.158951 
0.111	 59.489683	 22.972247	 6.708691	 5.159067 
0.112	 59.484368	 22.969986	 6.709378	 5.159182 
0.113	 59.479060	 22.967728	 6.710064	 5.159297 
0.114	 59.473759	 22.965474	 6.710750	 5.159412 
0.115	 59.468465	 22.963223	 6.711435	 5.159527 
0.116	 59.463179	 22.960976	 6.712119	 5.159642 
0.117	 59.457899	 22.958732	 6.712803	 5.159757 
0.118	 59.452627	 22.956492	 6.713486	 5.159871 
0.119	 59.447362	 22.954256	 6.714168	 5.159986 
0.120	 59.442104	 22.952024	 6.714850	 5.160100 
0.121	 59.436854	 22.949795	 6.715532	 5.160214 
0.122	 59.431611	 22.947570	 6.716212	 5.160328 
0.123	 59.426374	 22.945348	 6.716892	 5.160441 
0.124	 59.421144	 22.943129	 6.717572	 5.160555 
0.125	 59.415920	 22.940914	 6.718251	 5.160668 
0.126	 59.410701	 22.938701	 6.718930	 5.160782 
0.127	 59.405488	 22.936491	 6.719608	 5.160895 
0.128	 59.400278	 22.934283	 6.720286	 5.161008 
0.129	 59.395071	 22.932077	 6.720964	 5.161121 
0.130	 59.389867	 22.929873	 6.721642	 5.161235 
0.131	 59.384663	 22.927669	 6.722320	 5.161348 
0.132	 59.379460	 22.925466	 6.722998	 5.161461 
0.133	 59.374254	 22.923263	 6.723677	 5.161574 
0.134	 59.369046	 22.921059	 6.724357	 5.161687 
0.135	 59.363831	 22.918853	 6.725038	 5.161800 
0.136	 59.358607	 22.916643	 6.725720	 5.161914 
0.137	 59.353370	 22.914429	 6.726404	 5.162027 
0.138	 59.348116	 22.912208	 6.727091	 5.162141 
0.139	 59.342842	 22.909979	 6.727780	 5.162256 
0.140	 59.337542	 22.907740	 6.728474	 5.162371 
0.141	 59.332213	 22.905489	 6.729171	 5.162487 
0.142	 59.326849	 22.903224	 6.729873	 5.162603 
0.143	 59.321448	 22.900943	 6.730580	 5.162720 
0.144	 59.316005	 22.898646	 6.731293	 5.162838 
0.145	 59.310518	 22.896330	 6.732012	 5.162957 
0.146	 59.304988	 22.893997	 6.732737	 5.163077 
0.147	 59.299413	 22.891646	 6.733469	 5.163198 
0.148	 59.293795	 22.889277	 6.734206	 5.163319 
0.149	 59.288136	 22.886892	 6.734949	 5.163442 
0.150	 59.282439	 22.884491	 6.735698	 5.163566 
0.151	 59.276709	 22.882077	 6.736451	 5.163690 
0.152	 59.270949	 22.879651	 6.737209	 5.163815 
0.153	 59.265166	 22.877216	 6.737970	 5.163941 
0.154	 59.259364	 22.874773	 6.738734	 5.164067 
0.155	 59.253549	 22.872326	 6.739501	 5.164194 
0.156	 59.247727	 22.869876	 6.740268	 5.164321 
0.157	 59.241902	 22.867426	 6.741037	 5.164448 
0.158	 59.236080	 22.864978	 6.741806	 5.164574 
0.159	 59.230266	 22.862534	 6.742574	 5.164701 
0.160	 59.224464	 22.860096	 6.743341	 5.164828 
0.161	 59.218678	 22.857665	 6.744106	 5.164954 
0.162	 59.212911	 22.855242	 6.744869	 5.165080 
0.163	 59.207166	 22.852830	 6.745630	 5.165206 
0.164	 59.201445	 22.850428	 6.746388	 5.165331 
0.165	 59.195750	 22.848038	 6.747143	 5.165455 
0.166	 59.190081	 22.845659	 6.747894	 5.165579 
0.167	 59.184438	 22.843292	 6.748643	 5.165703 
0.168	 59.178821	 22.840937	 6.749389	 5.165825 
0.169	 59.173228	 22.838592	 6.750132	 5.165948 
0.170	 59.167659	 22.836257	 6.750872	 5.166070 
0.171	 59.162110	 22.833932	 6.751609	 5.166191 
0.172	 59.156580	 22.831616	 6.752345	 5.166312 
0.173	 59.151066	 22.829307	 6.753078	 5.166432 
0.174	 59.145565	 22.827003	 6.753811	 5.166553 
0.175	 59.140073	 22.824704	 6.754542	 5.166673 
0.176	 59.134587	 22.822408	 6.755273	 5.166793 
0.177	 59.129103	 22.820114	 6.756004	 5.166912 
0.178	 59.123617	 22.817819	 6.756735	 5.167032 
0.179	 59.118126	 22.815523	 6.757468	 5.167152 
0.180	 59.112625	 22.813224	 6.758202	 5.167272 
0.181	 59.107112	 22.810920	 6.758938	 5.167393 
0.182	 59.101584	 22.808609	 6.759676	 5.167513 
0.183	 59.096036	 22.806292	 6.760417	 5.167634 
0.184	 59.090467	 22.803966	 6.761161	 5.167756 
0.185	 59.084873	 22.801631	 6.761909	 5.167878 
0.186	 59.079254	 22.799285	 6.762661	 5.168001 
0.187	 59.073608	 22.796929	 6.763417	 5.168124 
0.188	 59.067932	 22.794562	 6.764177	 5.168248 
0.189	 59.062228	 22.792182	 6.764941	 5.168372 
0.190	 59.056494	 22.789791	 6.765710	 5.168497 
0.191	 59.050730	 22.787389	 6.766483	 5.168623 
0.192	 59.044937	 22.784975	 6.767260	 5.168749 
0.193	 59.039117	 22.782550	 6.768042	 5.168877 
0.194	 59.033270	 22.780115	 6.768827	 5.169004 
0.195	 59.027399	 22.777670	 6.769616	 5.169132 
0.196	 59.021506	 22.775217	 6.770409	 5.169261 
0.197	 59.015592	 22.772756	 6.771205	 5.169391 
0.198	 59.009662	 22.770289	 6.772003	 5.169520 
0.199	 59.003717	 22.767816	 6.772804	 5.169650 
0.200	 58.997760	 22.765339	 6.773607	 5.169781 
0.201	 58.991795	 22.762860	 6.774411	 5.169911 
0.202	 58.985823	 22.760378	 6.775217	 5.170042 
0.203	 58.979848	 22.757896	 6.776024	 5.170173 
0.204	 58.973873	 22.755414	 6.776831	 5.170304 
0.205	 58.967900	 22.752934	 6.777639	 5.170435 
0.206	 58.961932	 22.750456	 6.778446	 5.170566 
0.207	 58.955971	 22.747982	 6.779253	 5.170696 
