#T[Ga]	 a[RE]		 obliq_E[deg]	 obliq_M[deg]	  inc_M[deg]  Dec[deg] 
0.076	 59.678746	 23.053065	 6.684465	 5.154974	 1.529491	 
0.077	 59.673223	 23.050694	 6.685167	 5.155093	 1.530074	 
0.078	 59.667720	 23.048332	 6.685867	 5.155212	 1.530655	 
0.079	 59.662233	 23.045977	 6.686565	 5.155331	 1.531234	 
0.080	 59.656761	 23.043630	 6.687262	 5.155449	 1.531813	 
0.081	 59.651297	 23.041286	 6.687958	 5.155567	 1.532391	 
0.082	 59.645841	 23.038947	 6.688653	 5.155685	 1.532968	 
0.083	 59.640393	 23.036611	 6.689348	 5.155803	 1.533545	 
0.084	 59.634952	 23.034280	 6.690042	 5.155921	 1.534121	 
0.085	 59.629518	 23.031952	 6.690735	 5.156038	 1.534697	 
0.086	 59.624091	 23.029627	 6.691428	 5.156156	 1.535272	 
0.087	 59.618669	 23.027305	 6.692121	 5.156273	 1.535848	 
0.088	 59.613253	 23.024986	 6.692813	 5.156390	 1.536423	 
0.089	 59.607841	 23.022670	 6.693505	 5.156507	 1.536997	 
0.090	 59.602433	 23.020356	 6.694196	 5.156624	 1.537572	 
0.091	 59.597030	 23.018044	 6.694888	 5.156741	 1.538146	 
0.092	 59.591630	 23.015735	 6.695579	 5.156858	 1.538721	 
0.093	 59.586233	 23.013427	 6.696270	 5.156975	 1.539295	 
0.094	 59.580839	 23.011122	 6.696961	 5.157092	 1.539870	 
0.095	 59.575447	 23.008818	 6.697653	 5.157208	 1.540444	 
0.096	 59.570059	 23.006516	 6.698344	 5.157325	 1.541019	 
0.097	 59.564673	 23.004215	 6.699035	 5.157442	 1.541593	 
0.098	 59.559290	 23.001917	 6.699726	 5.157558	 1.542168	 
0.099	 59.553910	 22.999620	 6.700417	 5.157675	 1.542742	 
0.100	 59.548533	 22.997325	 6.701108	 5.157791	 1.543317	 
0.101	 59.543159	 22.995032	 6.701799	 5.157908	 1.543891	 
0.102	 59.537789	 22.992742	 6.702489	 5.158024	 1.544465	 
0.103	 59.532423	 22.990453	 6.703180	 5.158140	 1.545039	 
0.104	 59.527062	 22.988168	 6.703870	 5.158256	 1.545613	 
0.105	 59.521705	 22.985884	 6.704560	 5.158373	 1.546187	 
0.106	 59.516354	 22.983604	 6.705249	 5.158489	 1.546761	 
0.107	 59.511007	 22.981326	 6.705939	 5.158604	 1.547334	 
0.108	 59.505667	 22.979052	 6.706627	 5.158720	 1.547907	 
0.109	 59.500333	 22.976780	 6.707316	 5.158836	 1.548480	 
0.110	 59.495005	 22.974512	 6.708004	 5.158951	 1.549052	 
0.111	 59.489683	 22.972247	 6.708691	 5.159067	 1.549624	 
0.112	 59.484368	 22.969986	 6.709378	 5.159182	 1.550195	 
0.113	 59.479060	 22.967728	 6.710064	 5.159297	 1.550766	 
0.114	 59.473759	 22.965474	 6.710750	 5.159412	 1.551337	 
0.115	 59.468465	 22.963223	 6.711435	 5.159527	 1.551907	 
0.116	 59.463179	 22.960976	 6.712119	 5.159642	 1.552477	 
0.117	 59.457899	 22.958732	 6.712803	 5.159757	 1.553046	 
0.118	 59.452627	 22.956492	 6.713486	 5.159871	 1.553615	 
0.119	 59.447362	 22.954256	 6.714168	 5.159986	 1.554183	 
0.120	 59.442104	 22.952024	 6.714850	 5.160100	 1.554751	 
0.121	 59.436854	 22.949795	 6.715532	 5.160214	 1.555318	 
0.122	 59.431611	 22.947570	 6.716212	 5.160328	 1.555885	 
0.123	 59.426374	 22.945348	 6.716892	 5.160441	 1.556451	 
0.124	 59.421144	 22.943129	 6.717572	 5.160555	 1.557017	 
0.125	 59.415920	 22.940914	 6.718251	 5.160668	 1.557582	 
0.126	 59.410701	 22.938701	 6.718930	 5.160782	 1.558148	 
0.127	 59.405488	 22.936491	 6.719608	 5.160895	 1.558713	 
0.128	 59.400278	 22.934283	 6.720286	 5.161008	 1.559278	 
0.129	 59.395071	 22.932077	 6.720964	 5.161121	 1.559842	 
0.130	 59.389867	 22.929873	 6.721642	 5.161235	 1.560407	 
0.131	 59.384663	 22.927669	 6.722320	 5.161348	 1.560972	 
0.132	 59.379460	 22.925466	 6.722998	 5.161461	 1.561538	 
0.133	 59.374254	 22.923263	 6.723677	 5.161574	 1.562104	 
0.134	 59.369046	 22.921059	 6.724357	 5.161687	 1.562670	 
0.135	 59.363831	 22.918853	 6.725038	 5.161800	 1.563238	 
0.136	 59.358607	 22.916643	 6.725720	 5.161914	 1.563806	 
0.137	 59.353370	 22.914429	 6.726404	 5.162027	 1.564377	 
0.138	 59.348116	 22.912208	 6.727091	 5.162141	 1.564949	 
